18;-23;8
19;-62;7
17;-69;7
20;-58;9
20;-58;9
19;-57;7
16;-50;4
12;-42;1
9;-28;-3
4;-41;-6
4;-41;-6
5;-21;-7
6;-72;-6
7;-57;-6
7;-43;-3
7;-43;-3
4;-51;-1
4;-38;-1
4;-40;0
2;-43;2
2;-43;2
5;-34;3
7;-33;3
10;-40;3
10;-48;2
8;-47;2
8;-47;2
7;-42;1
8;-41;-2
11;-40;-3
6;-58;-7
6;-58;-7
-6;-63;-4
18;8;5
24;6;3
0;-49;-5
-14;-8;-3
-14;-8;-3
1;-15;4
18;-40;8
23;-32;7
19;-18;1
19;-18;1
10;-44;-1
5;-41;2
6;-44;5
10;-45;6
11;-39;3
11;-39;3
11;-28;0
12;-30;-1
7;-40;-3
11;-8;-3
11;-8;-3
10;-47;-1
13;-21;1
10;-26;3
4;-31;3
4;-31;3
0;-18;1
0;-22;0
3;-23;1
5;-17;2
5;-16;3
5;-16;3
5;-21;3
8;-29;3
9;-34;3
6;-25;3
6;-25;3
6;-22;2
6;-30;1
7;-25;-1
-3;-33;-5
-9;-35;0
-9;-35;0
20;42;8
24;3;4
0;-41;-4
-13;-10;-2
-13;-10;-2
4;-16;4
19;-26;10
22;-16;9
16;-18;5
6;-21;2
6;-21;2
3;6;1
4;14;4
6;16;6
7;32;7
7;32;7
11;48;7
14;48;4
6;53;-1
9;71;0
9;71;0
4;32;1
3;60;-1
-12;42;-1
-24;52;0
-26;60;0
-26;60;0
-20;52;0
-7;52;1
3;46;4
3;33;6
3;33;6
1;28;6
0;17;5
-1;9;6
-3;10;7
-4;21;6
-4;21;6
-2;23;8
2;26;9
7;18;9
-1;-2;3
-1;-2;3
1;7;3
19;51;5
1;-19;2
-21;-16;-4
-21;-16;-4
-21;-4;3
3;-1;18
10;-11;31
12;22;33
12;7;28
12;7;28
14;-6;23
22;4;13
22;4;3
16;7;-3
16;7;-3
13;14;-6
12;30;-6
7;8;-9
5;29;-11
2;-4;-13
2;-4;-13
-3;14;-14
2;29;-9
0;7;-2
-2;18;-2
-2;18;-2
-6;13;-2
-4;10;-1
0;-1;2
4;-9;3
10;-11;4
10;-11;4
9;-8;3
6;1;3
2;-6;5
3;-13;6
3;-13;6
5;-24;6
-9;-43;1
-12;-30;5
10;-7;10
10;-7;10
10;-53;4
-13;-58;-6
-14;-40;2
11;-50;8
19;-60;9
19;-60;9
19;-24;9
19;-41;9
10;-62;9
5;-49;9
5;-49;9
6;-48;8
8;-48;6
8;-47;5
1;-43;5
-5;-57;3
-5;-57;3
-8;-45;2
2;-47;3
7;-62;2
6;-37;3
6;-37;3
0;-41;5
-3;-25;3
-3;-27;2
-5;-36;3
-5;-37;5
-5;-37;5
-4;-42;7
-4;-41;8
-6;-36;6
-4;-36;4
-4;-36;4
0;-39;5
5;-39;5
3;-45;2
-10;-56;1
-10;-56;1
3;-10;7
15;2;7
1;-57;-2
-6;-19;-1
11;-34;6
11;-34;6
24;-53;7
24;-24;6
23;4;4
15;-44;5
15;-44;5
8;-51;7
9;-46;10
14;-52;7
15;-44;3
9;-33;0
9;-33;0
5;-22;0
1;-45;-1
2;-19;-2
4;-57;-3
4;-57;-3
3;-46;-1
2;-37;2
0;-44;3
0;-33;1
0;-33;1
1;-44;-1
1;-45;-2
2;-43;1
2;-45;3
